queenID,pullDay,qNatCol,WNatCol,start,eggDate,collDate,daysToEggs,socTreat,history,nest,nEggs,nHealthLarvae,nPupae,nMales,nAllBrood,daysToDeath,NOTES
EQ011,3/21/18,MF1,,4/3/18,NA,6/8/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,60,culled day 66
EQ013,3/23/18,MF1,,4/5/18,NA,5/7/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,32,died day 32
EQ017,3/28/18,MF2,,4/10/18,NA,4/17/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,7,died day 7
EQ018,3/28/18,MF1,,4/10/18,5/11/18,6/2/18,31,Solitary,First,First,0,3,0,0,3,60,
EQ018,3/28/18,MF1,,6/2/18,6/4/18,6/26/18,2,Social,WasSolitary,Second,37,46,6,0,89,60,many black or partially black larvae and pupae
EQ019,3/28/18,MF1,,4/10/18,NA,4/18/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,8,died day 8
EQ020,3/29/18,MF2,,4/11/18,5/7/18,5/29/18,26,Solitary,First,First,27,7,1,0,35,60,
EQ020,3/29/18,MF2,,5/29/18,6/1/18,6/25/18,3,Solitary,WasSolitary,Second,0,8,0,0,8,60,many black or partially black larvae and pupae
EQ021,3/29/18,MF2,,4/11/18,4/30/18,5/22/18,19,Solitary,First,First,41,9,0,0,50,60,
EQ021,3/29/18,MF2,,5/22/18,5/23/18,6/14/18,1,Social,WasSolitary,Second,25,36,23,0,84,60,
EQ022,3/29/18,MF1,,4/11/18,4/26/18,5/18/18,16,Solitary,First,First,0,7,18,0,25,60,6 of the 18 pupae are actually late larvae in cocoons
EQ022,3/29/18,MF1,,5/17/18,5/23/18,6/14/18,6,Solitary,WasSolitary,Second,18,4,2,0,24,60,
EQ023,3/29/18,MF1,,4/11/18,NA,5/4/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,23,died day 23
EQ024,3/29/18,MF1,,4/11/18,NA,6/19/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,60,culled day 38
EQ025,3/29/18,MF2,,4/11/18,4/30/18,5/22/18,19,Solitary,First,First,16,5,0,0,21,60,
