Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
No.,Selected Peak:,,,Pos'n,µL,min,min,m/z,counts*min,n.a.,n.a.,n.a.,,n.a.,counts*min,
,,,,,,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,
,,,,,,[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],
209,Blank 2/25,Unknown,,9,2,9,n.a.,n.a.,6042,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
210,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
211,Bee sample 52,Unknown,,10,2,8.97,n.a.,n.a.,12983,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
212,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
213,Bee sample 53,Unknown,,11,2,8.97,n.a.,n.a.,9802,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
214,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
215,Blank 3/1,Unknown,,12,2,8.98,n.a.,n.a.,6448,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
216,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
217,Bee sample 50,Unknown,,2,2,9,n.a.,n.a.,13005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
218,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
219,Bee sample 51,Unknown,,3,2,9,n.a.,n.a.,8270,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
220,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
221,Blank 3/4,Unknown,,4,2,8.97,n.a.,n.a.,9401,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
222,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
223,Bee sample 59,Unknown,,5,2,8.97,n.a.,n.a.,11887,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
224,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
225,Blank 3/6,Unknown,,6,2,8.94,n.a.,n.a.,9857,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
226,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
227,Bee sample 69,Unknown,,7,2,8.97,n.a.,n.a.,14059,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
228,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
229,Bee sample 83,Unknown,,8,2,8.97,n.a.,n.a.,15579,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
230,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
231,Blank 3/8,Unknown,,9,2,9,n.a.,n.a.,7185,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
232,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
233,Bee sample 66,Unknown,,10,2,8.95,n.a.,n.a.,8855,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
234,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
235,Bee sample 67,Unknown,,11,2,9,n.a.,n.a.,8161,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
236,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
237,Bee sample 70,Unknown,,12,2,9,n.a.,n.a.,11109,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
238,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
239,Bee sample 71,Unknown,,13,2,8.95,n.a.,n.a.,8194,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
240,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
241,Bee sample 80,Unknown,,2,2,8.97,n.a.,n.a.,11745,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
242,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
